dbcan_label	cazyme_consensus_ec	cazyme_substrate_higher	cazyme_substrate_simple
GH13_18	2.4.1.7	sucrose	Sucrose
GH102	4.2.2.n1	peptidoglycan	peptidoglycan
GH3	3.2.1.52	chitin	chitin, peptidoglycan
GH23	4.2.2.n1	peptidoglycan	peptidoglycan
GH57	2.4.1.25	starch	starch, glycogen, and malto-oligosaccharides
GH5_25	3.2.1.4	beta-glucan	cellulose, beta-glucan
GH171	3.2.1.92	peptidoglycan	peptidoglycan
GH13_11	3.2.1.68;2.4.1.25	glycogen; starch	glycogen; starch, glycogen, and malto-oligosaccharides
GH13_23	3.2.1.20	starch	starch
GH2	3.2.1.23	beta-galactan	beta-galactoside
CBM48;GH13_9	2.4.1.18	alpha-glucan	starch, glycogen, and malto-oligosaccharides
GH163	3.2.1.-	host glycan	N-glycan (host glycan)
GH103	4.2.2.n1	peptidoglycan	peptidoglycan
GH108	3.2.1.17	peptidoglycan	peptidoglycan
GH43_11;CBM91	3.2.1.37;3.2.1.55	xylan	xylan; arabinoxylan
GH20	3.2.1.52	host glycan	N-glycan (host glycan, human milk oligosaccharides, chitin)
GH92	3.2.1.-	host glycan	host N-glycan Man9(GlcNac)2; host N-glycan
GH105	3.2.1.-	ulvan; pectin	ulvan; pectin
GH105	3.2.1.172	pectin	pectin (rhamnogalacturonan I)
PL1	4.2.2.2	pectin	pectin
GH28	3.2.1.15	pectin	galacturonan (pectin)
GH13	3.2.1.1	starch	starch, glycogen, and malto-oligosaccharides
GH65	2.4.1.8	alpha-glucan	maltose (α1,4)
GH29	3.2.1.111;3.2.1.51	host glycan	human milk oligosaccharides, mucin, host glycan
GH130	2.4.1.339;2.4.1.340	beta-mannan	beta-mannan
GH127	3.2.1.185	arabinogalactan protein	arabinogalactan proteins
GH31	3.2.1.20	starch	starch
GH97	3.2.1.22	alpha-glucan	alpha-galactoside, alpha-fucoside
GH95	3.2.1.-;3.2.1.63	pectin, xylan; xyloglucan, host glycan	plant pectic polysaccharide, xylan; alpha1,2-L-fucosidase sugar
GH157	3.2.1.39	beta-glucan	beta-glucans (bacteria curdlan)
GH53	3.2.1.89	arabinogalactan protein	arabinogalactan
GH13	3.2.1.54	starch	cyclomaltodextrins
CBM67;GH78	3.2.1.40	alpha-rhamnoside	α-L-rhamnosidase in polyphenol (naringin, rutin, hesperidin), ulvan, pectin, arabinogalactan-protein
GH78	3.2.1.40	alpha-rhamnoside	α-L-rhamnosidase in polyphenol (naringin, rutin, hesperidin), ulvan, pectin, arabinogalactan-protein
GH13_14	3.2.1.41	starch	pullulan (starch degradation by fungi)
GH5_46	3.2.1.4	beta-glucan	cellulose, beta-glucan
GH3	3.2.1.21	beta-glucan	beta-glucan
PL26	4.2.2.24	pectin	rhamnogalacturonan I(pectin from the plant cell wall)
GH73	3.2.1.-	peptidoglycan	peptidoglycan
GH140	3.2.1.-	pectin	pectin (rhamnogalacturonan II)
GH26	3.2.1.32	xylan	beta(1,3)-xylan (algae)
PL9_1	4.2.2.23	pectin	rhamnogalacturonan I(pectin from the plant cell wall)
GH20	3.2.1.-	exo-polysaccharide; host glycan	capsular polysaccharide (bacteria); mucin
GH88	3.2.1.-	host glycan	sulfated glycosaminoglycans
GH109	3.2.1.49	host glycan	mucin-type O-glycans
